0x00400238 crtstuff.c
0x00400254 deregister_tm_clones
0x00400274 __do_global_dtors_aux
0x00400298 completed.7698
0x004002d8 __do_global_dtors_aux_fini_array_entry
0x00400488 frame_dummy
0x0040053c __frame_dummy_init_array_entry
0x00400560 pivot.c
0x00400580 pwnme
0x004005c8 uselessFunction
0x004006a0 /tmp/ccuZnLma.o
0x004006a0 /tmp/ccuZnLma.o
0x004006a0 /tmp/ccuZnLma.o
0x004006c0 usefulGadgets
0x00400760 __FRAME_END__
0x00400760 __FRAME_END__
0x00400790 __FRAME_END__
0x004007a0 __FRAME_END__
0x004007d0 __FRAME_END__
0x00400810 __FRAME_END__
0x00400840 __FRAME_END__
0x00400847 __FRAME_END__
0x004008f1 __FRAME_END__
0x004009a8 __FRAME_END__
0x004009bb __FRAME_END__
0x004009d0 __FRAME_END__
0x00400a40 __FRAME_END__
0x00400a44 __init_array_end
0x00400a44 __init_array_end
0x00400a44 __init_array_end
0x00400a50 _DYNAMIC
0x00400a50 _DYNAMIC
0x00400b74 __init_array_start
0x00400b74 __init_array_start
0x00400bc0 __GNU_EH_FRAME_HDR
0x00400cfc __GNU_EH_FRAME_HDR
0x00600df0 _GLOBAL_OFFSET_TABLE_
0x00600df0 _GLOBAL_OFFSET_TABLE_
0x00600df0 _GLOBAL_OFFSET_TABLE_
0x00600df8 _GLOBAL_OFFSET_TABLE_
0x00600df8 __libc_csu_fini
0x00600df8 __libc_csu_fini
0x00600e00 free@@GLIBC_2.2.5
0x00600e00 free@@GLIBC_2.2.5
0x00600ff0 stdout@@GLIBC_2.2.5
0x00601000 puts@@GLIBC_2.2.5
0x00601000 puts@@GLIBC_2.2.5
0x00601060 _edata
0x00601060 _edata
0x00601060 _edata
0x00601068 _edata
0x00601070 _edata
0x00601070 _edata
0x00601070 _edata
0x00601070 printf@@GLIBC_2.2.5
0x00601070 printf@@GLIBC_2.2.5
0x00601070 printf@@GLIBC_2.2.5
0x00601070 printf@@GLIBC_2.2.5
0x00601070 printf@@GLIBC_2.2.5
0x00601078 printf@@GLIBC_2.2.5
0x00601080 printf@@GLIBC_2.2.5
0x00601080 printf@@GLIBC_2.2.5
